datetime,Close,Open,High,Low,Volume,Change
2023/7/24,5.75,5.83,5.84,5.73,57.23M,-1.03%
2023/7/21,5.81,5.85,5.89,5.75,74.06M,-0.68%
2023/7/20,5.85,5.85,5.94,5.81,120.38M,0.00%
2023/7/19,5.85,5.86,5.91,5.79,133.44M,1.74%
2023/7/18,5.75,5.74,5.81,5.71,70.20M,-0.17%
2023/7/17,5.76,5.69,5.88,5.63,116.32M,-1.37%
2023/7/14,5.84,5.88,5.97,5.81,138.07M,0.69%
2023/7/13,5.8,5.63,5.85,5.61,232.72M,5.07%
2023/7/12,5.52,5.53,5.58,5.5,87.51M,-0.18%
2023/7/11,5.53,5.47,5.54,5.41,75.91M,1.10%
2023/7/10,5.47,5.43,5.51,5.42,68.90M,1.30%
2023/7/7,5.4,5.42,5.44,5.33,70.72M,-2.00%
2023/7/6,5.51,5.6,5.61,5.48,84.26M,-1.61%
2023/7/5,5.6,5.5,5.66,5.49,126.02M,1.27%
2023/7/4,5.53,5.59,5.67,5.48,79.65M,-0.54%
2023/7/3,5.56,5.37,5.57,5.35,153.35M,4.32%
2023/6/30,5.33,5.29,5.38,5.28,56.45M,0.38%
2023/6/29,5.31,5.36,5.39,5.3,77.87M,-1.12%
2023/6/28,5.37,5.36,5.42,5.31,69.54M,-0.19%
2023/6/27,5.38,5.25,5.42,5.18,109.35M,2.28%
2023/6/26,5.26,5.32,5.37,5.22,61.12M,-1.50%
2023/6/21,5.34,5.5,5.53,5.33,105.84M,-3.26%
2023/6/20,5.52,5.49,5.57,5.44,81.94M,0.55%
2023/6/19,5.49,5.65,5.67,5.45,138.19M,-3.00%
2023/6/16,5.66,5.58,5.67,5.54,144.41M,1.43%
2023/6/15,5.58,5.49,5.6,5.38,163.49M,1.27%
2023/6/14,5.51,5.44,5.63,5.43,227.84M,2.61%
2023/6/13,5.37,5.37,5.38,5.33,51.94M,-0.37%
2023/6/12,5.39,5.4,5.41,5.3,92.16M,-0.19%
2023/6/9,5.4,5.45,5.46,5.39,67.81M,-0.18%
2023/6/8,5.41,5.37,5.47,5.36,51.74M,0.37%
2023/6/7,5.39,5.4,5.49,5.34,62.67M,0.19%
2023/6/6,5.38,5.46,5.53,5.37,90.12M,-1.10%
2023/6/5,5.44,5.47,5.48,5.39,68.29M,-0.55%
2023/6/2,5.47,5.33,5.49,5.33,153.85M,3.40%
2023/6/1,5.29,5.24,5.35,5.17,96.92M,0.95%
2023/5/31,5.24,5.23,5.25,5.17,60.92M,-0.19%
2023/5/30,5.25,5.27,5.28,5.17,49.35M,0.00%
2023/5/29,5.25,5.28,5.3,5.22,49.28M,0.00%
2023/5/26,5.25,5.17,5.25,5.13,49.76M,1.74%
2023/5/25,5.16,5.2,5.22,5.1,81.43M,-1.71%
2023/5/24,5.25,5.21,5.31,5.16,70.00M,0.19%
2023/5/23,5.24,5.33,5.35,5.24,78.37M,-2.06%
2023/5/22,5.35,5.34,5.38,5.3,59.40M,0.19%
2023/5/19,5.34,5.35,5.37,5.29,70.74M,-1.11%
2023/5/18,5.4,5.44,5.49,5.37,74.78M,0.93%
2023/5/17,5.35,5.35,5.41,5.31,85.00M,-1.29%
2023/5/16,5.42,5.46,5.49,5.4,69.27M,-0.73%
2023/5/15,5.46,5.29,5.49,5.29,115.22M,3.02%
2023/5/12,5.3,5.57,5.58,5.26,285.85M,-6.36%
2023/5/11,5.66,5.79,5.81,5.63,143.39M,-2.58%
2023/5/10,5.81,5.85,5.92,5.78,106.39M,-0.85%
2023/5/9,5.86,5.86,6.04,5.84,167.40M,0.17%
2023/5/8,5.85,5.7,6.02,5.68,215.69M,4.09%
2023/5/5,5.62,5.71,5.8,5.59,164.90M,-1.40%
2023/5/4,5.7,5.88,5.88,5.66,280.60M,-4.36%
2023/4/28,5.96,5.92,6.05,5.91,170.16M,1.19%
2023/4/27,5.89,6.02,6.03,5.82,176.00M,-2.97%
2023/4/26,6.07,6.11,6.17,6,151.30M,-1.78%
2023/4/25,6.18,6.31,6.37,6.08,147.62M,-1.28%
2023/4/24,6.26,6.57,6.58,6.2,234.60M,-5.01%
2023/4/21,6.59,6.78,6.82,6.58,143.65M,-1.79%
2023/4/20,6.71,6.91,6.94,6.62,287.38M,-3.03%
2023/4/19,6.92,6.8,6.96,6.75,512.13M,9.32%
2023/4/18,6.33,6.31,6.39,6.23,110.71M,-0.31%
2023/4/17,6.35,6.36,6.41,6.19,219.56M,-0.94%
2023/4/14,6.41,6.22,6.42,6.21,236.92M,4.23%
2023/4/13,6.15,6.17,6.24,6.1,107.27M,-0.32%
2023/4/12,6.17,6.15,6.24,6.11,137.23M,0.82%
2023/4/11,6.12,5.97,6.15,5.92,202.47M,2.86%
2023/4/10,5.95,5.91,6.03,5.89,110.17M,1.02%
2023/4/7,5.89,5.97,6.09,5.86,121.18M,-1.34%
2023/4/6,5.97,5.94,5.98,5.87,91.65M,0.51%
2023/4/4,5.94,5.89,5.95,5.85,95.07M,0.51%
2023/4/3,5.91,5.99,6,5.84,143.88M,-1.34%
2023/3/31,5.99,5.93,6.06,5.91,120.37M,1.01%
2023/3/30,5.93,5.94,5.95,5.82,79.51M,0.00%
2023/3/29,5.93,5.89,5.97,5.89,74.23M,0.68%
2023/3/28,5.89,5.91,6,5.86,85.31M,-0.51%
2023/3/27,5.92,5.91,5.95,5.83,94.35M,0.51%
2023/3/24,5.89,5.83,5.92,5.8,108.98M,0.86%
2023/3/23,5.84,5.82,5.87,5.77,81.80M,0.34%
2023/3/22,5.82,5.7,5.84,5.68,159.91M,2.11%
2023/3/21,5.7,5.4,5.77,5.38,256.46M,6.54%
2023/3/20,5.35,5.37,5.52,5.31,197.84M,-0.37%
2023/3/17,5.37,5.42,5.5,5.33,224.04M,-0.19%
2023/3/16,5.38,5.77,5.77,5.34,316.16M,-7.88%
2023/3/15,5.84,5.85,5.91,5.83,50.89M,0.17%
2023/3/14,5.83,5.95,5.99,5.77,98.41M,-1.52%
2023/3/13,5.92,5.87,5.98,5.83,100.80M,0.85%
2023/3/10,5.87,5.9,5.95,5.87,66.98M,-2.00%
2023/3/9,5.99,6.1,6.12,5.93,106.64M,0.34%
2023/3/8,5.97,5.85,6,5.83,93.67M,0.00%
2023/3/7,5.97,6.03,6.16,5.96,107.97M,-1.16%
2023/3/6,6.04,5.95,6.06,5.86,126.57M,1.00%
2023/3/3,5.98,6.11,6.11,5.9,129.28M,-1.81%
2023/3/2,6.09,6.08,6.17,6.03,134.57M,0.50%
2023/3/1,6.06,5.92,6.07,5.89,140.68M,2.71%
2023/2/28,5.9,5.91,5.95,5.83,92.35M,0.51%
2023/2/27,5.87,5.91,5.99,5.81,143.27M,-2.00%
2023/2/24,5.99,6.11,6.13,5.95,166.31M,-2.92%
2023/2/23,6.17,6.17,6.23,6.07,147.27M,0.49%
2023/2/22,6.14,6.13,6.21,6.07,141.07M,-0.65%
2023/2/21,6.18,5.98,6.29,5.95,389.31M,3.34%
2023/2/20,5.98,5.81,6.03,5.78,216.03M,2.57%
2023/2/17,5.83,5.83,5.97,5.83,150.74M,1.04%
2023/2/16,5.77,5.84,5.93,5.7,150.74M,-2.37%
2023/2/15,5.91,5.91,6.08,5.9,168.73M,-0.34%
2023/2/14,5.93,5.8,6.05,5.79,321.40M,3.31%
2023/2/13,5.74,5.73,5.83,5.71,131.20M,-0.35%
2023/2/10,5.76,5.84,5.87,5.73,116.46M,-1.37%
2023/2/9,5.84,5.8,5.88,5.75,112.41M,0.17%
2023/2/8,5.83,5.87,6,5.8,168.99M,-1.02%
2023/2/7,5.89,5.74,5.97,5.66,205.01M,3.15%
2023/2/6,5.71,5.8,5.8,5.6,202.86M,-3.06%
2023/2/3,5.89,5.85,5.92,5.75,217.30M,-0.51%
2023/2/2,5.92,5.96,5.98,5.79,289.69M,-1.50%
2023/2/1,6.01,5.68,6.1,5.68,473.38M,6.00%
2023/1/31,5.67,5.52,5.74,5.49,381.06M,3.09%
2023/1/30,5.5,5.31,5.63,5.29,460.99M,7.21%
2023/1/20,5.13,5.05,5.17,5.04,118.45M,1.79%
2023/1/19,5.04,4.96,5.04,4.95,81.71M,1.00%
2023/1/18,4.99,4.87,5.01,4.87,140.50M,2.89%
2023/1/17,4.85,4.86,4.88,4.82,66.52M,-0.61%
2023/1/16,4.88,4.89,4.95,4.87,114.33M,0.00%
2023/1/13,4.88,4.98,5,4.85,103.55M,-0.81%
2023/1/12,4.92,4.96,5.06,4.9,157.40M,1.03%
2023/1/11,4.87,4.87,4.93,4.85,89.55M,0.83%
2023/1/10,4.83,4.85,4.89,4.79,101.04M,-0.21%
2023/1/9,4.84,4.66,4.88,4.66,194.70M,4.76%
2023/1/6,4.62,4.6,4.65,4.58,86.32M,0.43%
2023/1/5,4.6,4.59,4.64,4.55,86.13M,0.66%
2023/1/4,4.57,4.61,4.63,4.53,62.43M,-1.30%
2023/1/3,4.63,4.53,4.65,4.4,85.90M,1.76%
2022/12/30,4.55,4.59,4.62,4.55,43.42M,-0.44%
2022/12/29,4.57,4.61,4.65,4.56,63.13M,-1.72%
2022/12/28,4.65,4.59,4.7,4.56,64.50M,0.65%
2022/12/27,4.62,4.56,4.63,4.55,48.94M,1.99%
2022/12/26,4.53,4.55,4.56,4.5,49.07M,-0.22%
2022/12/23,4.54,4.5,4.56,4.48,36.59M,0.22%
2022/12/22,4.53,4.64,4.65,4.51,50.28M,-1.52%
2022/12/21,4.6,4.65,4.66,4.58,43.12M,-0.43%
2022/12/20,4.62,4.64,4.66,4.58,52.37M,-1.07%
2022/12/19,4.67,4.81,4.84,4.63,90.72M,-2.51%
2022/12/16,4.79,4.77,4.82,4.75,53.06M,-0.83%
2022/12/15,4.83,4.87,4.9,4.78,84.42M,-1.23%
2022/12/14,4.89,4.95,5.01,4.88,81.16M,-1.21%
2022/12/13,4.95,4.89,5.03,4.89,104.49M,1.02%
2022/12/12,4.9,4.98,4.98,4.88,123.33M,-2.20%
2022/12/9,5.01,4.78,5.03,4.76,240.13M,4.59%
2022/12/8,4.79,4.78,4.82,4.76,57.85M,0.21%
2022/12/7,4.78,4.79,4.84,4.77,82.60M,-1.04%
2022/12/6,4.83,4.8,4.84,4.76,87.09M,0.21%
2022/12/5,4.82,4.7,4.85,4.7,156.18M,3.43%
2022/12/2,4.66,4.73,4.75,4.66,83.91M,-1.69%
2022/12/1,4.74,4.73,4.81,4.73,130.10M,1.72%
2022/11/30,4.66,4.71,4.75,4.66,78.48M,-1.06%
2022/11/29,4.71,4.54,4.72,4.54,118.69M,3.29%
2022/11/28,4.56,4.61,4.61,4.48,85.77M,-1.94%
2022/11/25,4.65,4.63,4.67,4.61,49.06M,0.22%
2022/11/24,4.64,4.67,4.68,4.63,50.66M,0.22%
2022/11/23,4.63,4.66,4.69,4.61,52.49M,-0.22%
2022/11/22,4.64,4.62,4.71,4.61,62.99M,-0.43%
2022/11/21,4.66,4.67,4.67,4.57,68.78M,-0.64%
2022/11/18,4.69,4.73,4.77,4.69,80.55M,-1.26%
2022/11/17,4.75,4.78,4.8,4.7,113.81M,-1.45%
2022/11/16,4.82,4.74,4.9,4.7,178.88M,1.69%
2022/11/15,4.74,4.7,4.74,4.63,118.80M,0.85%
2022/11/14,4.7,4.73,4.81,4.66,197.73M,0.43%
2022/11/11,4.68,4.7,4.75,4.65,177.00M,2.63%
2022/11/10,4.56,4.59,4.6,4.51,103.86M,-1.30%
2022/11/9,4.62,4.74,4.78,4.61,121.87M,-1.07%
2022/11/8,4.67,4.64,4.72,4.61,149.28M,0.00%
